gene	gene_id	chromosome	lof.oe_ci.upper	mis.z_score	IEI	gwas_score	gene_burden_score									
NXNL1	ENSG00000171773	chr19	1.64E+00	-5.79E-01	0	0	0									
NXNL2	ENSG00000130045	chr9	1.18E+00	-4.44E-01	0	0	0									
NXPE1	ENSG00000095110	chr11	1.26E+00	-8.92E-02	0	0.798285	0									
NXPE2	ENSG00000204361	chr11	1.31E+00	3.86E-01	0	0	0									
NXPE3	ENSG00000144815	chr3	7.83E-01	1.07E+00	0	0.429985	0									
NXPE4	ENSG00000137634	chr11	1.63E+00	-1.03E+00	0	0.217558	0									
NXPH1	ENSG00000122584	chr7	4.44E-01	-5.60E-02	0	0.606434	0									
NXPH2	ENSG00000144227	chr2	5.30E-01	8.03E-01	0	0.087459	0									
NXPH3	ENSG00000182575	chr17	7.00E-01	1.30E+00	0	0	0									
NXPH4	ENSG00000182379	chr12	6.79E-01	-2.51E-02	0	0	0									
NXT1	ENSG00000132661	chr20	7.87E-01	2.79E+00	0	0	0									
NXT2	ENSG00000101888	chrX	4.94E-01	2.23E+00	0	0	0									
NYAP1	ENSG00000166924	chr7	4.96E-01	5.50E-01	0	0	0									
NYAP2	ENSG00000144460	chr2	6.46E-01	-3.49E-01	0	0.47897	0									
NYNRIN	ENSG00000205978	chr14	7.02E-01	1.63E+00	0	0	0									
NYX	ENSG00000188937	chrX	NA	8.60E-02	0	0	0									
OAF	ENSG00000184232	chr11	9.18E-01	7.60E-01	0	0	0									
OARD1	ENSG00000124596	chr6	1.41E+00	-1.97E-01	0	0	0									
OAS1	ENSG00000089127	chr12	8.76E-01	2.29E-01	1	0.406803	0									
OAS2	ENSG00000111335	chr12	1.15E+00	4.98E-01	1	0.05798	0									
OAS3	ENSG00000111331	chr12	1.11E+00	1.50E+00	0	0.359391	0									
OASL	ENSG00000135114	chr12	1.09E+00	2.58E-01	0	0.455279	0									
OAT	ENSG00000065154	chr10	9.59E-01	1.84E+00	0	0	0									
OAZ1	ENSG00000104904	chr19	1.31E+00	-2.75E+00	0	0	0									
OAZ2	ENSG00000180304	chr15	8.99E-01	6.73E-01	0	0	0									
OAZ3	ENSG00000143450	chr1	1.17E+00	6.33E-01	0	0	0									
OBI1	ENSG00000152193	chr13	1.17E+00	-6.53E-01	0	0.345673	0									
OBP2A	ENSG00000122136	chr9	1.06E+00	8.08E-01	0	0	0									
OBP2B	ENSG00000171102	chr9	7.83E-01	1.87E+00	0	0.054223	0									
OBSCN	ENSG00000154358	chr1	9.36E-01	5.26E-01	0	0	0									
OBSL1	ENSG00000124006	chr2	1.06E+00	2.82E-01	0	0	0									
OC90	ENSG00000253117	chr8	1.24E+00	-1.84E+00	0	0.512091	0									
OCA2	ENSG00000104044	chr15	9.29E-01	3.50E-01	0	0.407658	0									
OCEL1	ENSG00000099330	chr19	1.15E+00	-1.13E+00	0	0.043578	0									
OCIAD1	ENSG00000109180	chr4	1.02E+00	3.91E-02	0	0	0									
OCIAD2	ENSG00000145247	chr4	1.73E+00	-2.75E-01	0	0	0									
OCLN	ENSG00000197822	chr5	6.31E-01	3.77E+00	0	0	0									
OCM	ENSG00000122543	chr7	1.89E+00	-8.79E-02	0	0.451171	0									
OCM2	ENSG00000135175	chr7	8.68E-01	6.84E-01	0	0	0									
OCRL	ENSG00000122126	chrX	1.83E-01	3.92E+00	0	0	0									
OCSTAMP	ENSG00000149635	chr20	1.01E+00	4.96E-01	0	0.034849	0									
ODAD1	ENSG00000105479	chr19	9.25E-01	7.83E-01	0	0	0									
ODAD2	ENSG00000169126	chr10	9.94E-01	8.55E-01	0	0.110381	0									
ODAD3	ENSG00000198003	chr19	1.00E+00	-5.11E-01	0	0	0									
ODAD4	ENSG00000204815	chr17	1.20E+00	-6.16E-02	0	0	0									
ODAM	ENSG00000109205	chr4	1.42E+00	-6.98E-01	0	0	0									
ODAPH	ENSG00000174792	chr4	2.28E+00	1.42E-01	0	0.094445	0									
ODC1	ENSG00000115758	chr2	6.44E-01	1.49E+00	0	0.254213	0									
ODF1	ENSG00000155087	chr8	7.07E-01	6.29E-01	0	0.272748	0									
ODF2	ENSG00000136811	chr9	5.44E-01	3.19E+00	0	0	0									
ODF2L	ENSG00000122417	chr1	1.07E+00	-4.88E-01	0	0.418889	0									
CIMAP1A	ENSG00000177947	chr11	1.39E+00	-5.35E-01	0	0	0									
CIMAP1B	ENSG00000177989	chr22	1.17E+00	-5.72E-01	0	0.598588	0									
CIMAP1C	ENSG00000182950	chr15	1.35E+00	5.88E-01	0	0	0									
CIMAP1D	ENSG00000181781	chr19	1.53E+00	-4.62E-01	0	0	0									
ODF4	ENSG00000184650	chr17	1.07E+00	7.08E-01	0	0	0									
ODR4	ENSG00000157181	chr1	9.96E-01	7.93E-01	0	0	0									
OFD1	ENSG00000046651	chrX	2.39E-01	7.70E-01	0	0	0									
OGA	ENSG00000198408	chr10	2.96E-01	4.39E+00	0	0	0									
OGDH	ENSG00000105953	chr7	4.27E-01	6.16E+00	0	0	0									
OGDHL	ENSG00000197444	chr10	8.69E-01	1.01E+00	0	0.046715	0									
OGFOD1	ENSG00000087263	chr16	1.00E+00	6.83E-01	0	0	0									
OGFOD2	ENSG00000111325	chr12	1.45E+00	-2.11E+00	0	0	0									
OGFOD3	ENSG00000181396	chr17	1.17E+00	3.30E-01	0	0	0									
OGFR	ENSG00000060491	chr20	7.95E-01	1.09E+00	0	0	0									
OGFRL1	ENSG00000119900	chr6	1.11E+00	4.63E-01	0	0.04313	0									
OGG1	ENSG00000114026	chr3	1.10E+00	-7.52E-01	0	0	0									
OGN	ENSG00000106809	chr9	9.04E-01	1.52E+00	0	0	0									
OGT	ENSG00000147162	chrX	1.02E-01	8.38E+00	0	0	0									
OIP5	ENSG00000104147	chr15	1.66E+00	-1.24E+00	0	0.046957	0									
OIT3	ENSG00000138315	chr10	1.02E+00	1.30E+00	0	0	0									
OLA1	ENSG00000138430	chr2	4.52E-01	2.80E+00	0	0	0									
OLAH	ENSG00000152463	chr10	1.59E+00	-1.17E+00	0	0	0									
OLFM1	ENSG00000130558	chr9	3.16E-01	4.85E+00	0	0.075918	0									
OLFM2	ENSG00000105088	chr19	6.61E-01	3.83E+00	0	0.138789	0									
OLFM3	ENSG00000118733	chr1	5.99E-01	1.96E+00	0	0.571566	0									
OLFM4	ENSG00000102837	chr13	1.23E+00	4.36E-01	0	0.253104	0									
OLFML1	ENSG00000183801	chr11	1.18E+00	-1.19E+00	0	0.138749	0									
OLFML2A	ENSG00000185585	chr9	9.84E-01	-6.07E-01	0	0.035687	0									
OLFML2B	ENSG00000162745	chr1	9.48E-01	-2.11E-01	0	0.283591	0									
OLFML3	ENSG00000116774	chr1	1.00E+00	3.06E-01	0	0	0									
OLIG1	ENSG00000184221	chr21	1.17E+00	6.51E-01	0	0	0									
OLIG2	ENSG00000205927	chr21	1.46E+00	1.41E+00	0	0.279646	0									
OLIG3	ENSG00000177468	chr6	1.32E+00	-6.92E-01	0	0.613127	0									
OLR1	ENSG00000173391	chr12	1.03E+00	7.13E-01	0	0	0									
OMA1	ENSG00000162600	chr1	1.61E+00	-2.55E+00	0	0	0									
OMD	ENSG00000127083	chr9	8.92E-01	8.23E-01	0	0	0									
OMG	ENSG00000126861	chr17	5.98E-01	2.10E+00	0	0.034789	0									
OMP	ENSG00000254550	chr11	9.86E-01	-3.42E-01	0	0	0									
ONECUT1	ENSG00000169856	chr15	7.59E-01	5.22E-01	0	0	0									
ONECUT2	ENSG00000119547	chr18	6.09E-01	5.55E-01	0	0	0									
ONECUT3	ENSG00000205922	chr19	1.09E+00	-1.21E-01	0	0	0									
OOEP	ENSG00000203907	chr6	1.77E+00	-5.88E-02	0	0	0									
OOSP1	ENSG00000284873	chr11	3.20E+00	-1.67E+00	0	0	0									
OOSP2	ENSG00000149507	chr11	9.79E-01	1.40E-01	0	0	0									
OPA1	ENSG00000198836	chr3	4.79E-01	2.55E+00	0	0	0									
OPA3	ENSG00000125741	chr19	2.99E+00	5.65E-01	0	0	0									
OPALIN	ENSG00000197430	chr10	1.29E+00	1.93E-01	0	0	0									
OPCML	ENSG00000183715	chr11	5.47E-01	1.93E+00	0	0.611578	0									
OPHN1	ENSG00000079482	chrX	3.00E-01	2.80E+00	0	0	0									
OPLAH	ENSG00000178814	chr8	9.88E-01	-6.52E-01	0	0.039665	0									
OPN1LW	ENSG00000102076	chrX	5.06E-01	1.97E+00	0	0	0									
OPN1MW	ENSG00000268221	chrX	6.25E-01	4.11E+00	0	0	0									
OPN1SW	ENSG00000128617	chr7	1.09E+00	4.84E-01	0	0	0									
OPN3	ENSG00000054277	chr1	1.17E+00	1.45E+00	0	0	0									
OPN4	ENSG00000122375	chr10	1.12E+00	-2.20E-01	0	0	0									
OPN5	ENSG00000124818	chr6	6.40E-01	2.38E+00	0	0	0									
OPRD1	ENSG00000116329	chr1	1.60E+00	1.17E+00	0	0.071239	0									
OPRK1	ENSG00000082556	chr8	9.42E-01	5.36E-01	0	0	0									
OPRL1	ENSG00000125510	chr20	6.78E-01	2.05E+00	0	0.084491	0									
OPRM1	ENSG00000112038	chr6	1.17E+00	-4.70E-01	0	0.070854	0									
OPRPN	ENSG00000171199	chr4	2.15E+00	-2.14E-01	0	0	0									
OPTC	ENSG00000188770	chr1	1.24E+00	1.70E-01	0	0	0									
OPTN	ENSG00000123240	chr10	9.63E-01	8.09E-01	0	0.036878	0									
OR10A2	ENSG00000170790	chr11	1.69E+00	4.06E-01	0	0	0									
OR10A3	ENSG00000170683	chr11	3.11E+00	-6.29E-01	0	0.31162	0									
OR10A4	ENSG00000170782	chr11	1.74E+00	-1.83E+00	0	0	0									
OR10A5	ENSG00000166363	chr11	2.20E+00	2.00E-01	0	0	0									
OR10A6	ENSG00000279000	chr11	4.13E+00	-2.74E+00	0	0.094095	0									
OR10A7	ENSG00000179919	chr12	NA	-1.10E+00	0	0	0									
OR10AC1	ENSG00000176510	chr7	NA	-6.01E+00	0	0	0									
OR10AD1	ENSG00000172640	chr12	NA	-3.57E+00	0	0	0									
OR10AG1	ENSG00000174970	chr11	NA	-1.24E+00	0	0	0									
OR10C1	ENSG00000206474	chr6	NA	8.85E-02	0	0	0									
OR10D3	ENSG00000197309	chr11	NA	-4.55E+00	0	0	0									
OR10G2	ENSG00000255582	chr14	NA	-1.81E-01	0	0	0									
OR10G3	ENSG00000169208	chr14	1.08E+00	-1.38E-01	0	0.238548	0									
OR10G4	ENSG00000254737	chr11	NA	1.53E+00	0	0	0									
OR10G7	ENSG00000182634	chr11	NA	9.62E-01	0	0	0									
OR10G8	ENSG00000234560	chr11	NA	-2.42E-02	0	0	0									
OR10G9	ENSG00000236981	chr11	NA	6.92E-01	0	0	0									
OR10H1	ENSG00000186723	chr19	1.48E+00	1.05E+00	0	0.051068	0									
OR10H2	ENSG00000171942	chr19	5.84E+00	1.08E+00	0	0.196569	0									
OR10H3	ENSG00000171936	chr19	2.09E+00	-2.47E-01	0	0.045217	0									
OR10H4	ENSG00000176231	chr19	1.62E+00	-1.18E-01	0	0	0									
OR10H5	ENSG00000172519	chr19	1.07E+00	1.38E+00	0	0	0									
OR10J1	ENSG00000196184	chr1	NA	-2.14E+00	0	0	0									
OR10J3	ENSG00000196266	chr1	NA	-1.57E+00	0	0	0									
OR10J4	ENSG00000249730	chr1	NA	-3.90E+00	0	0	0									
OR10J5	ENSG00000184155	chr1	NA	-3.74E-01	0	0	0									
OR10K1	ENSG00000173285	chr1	NA	-6.77E-01	0	0	0									
OR10K2	ENSG00000180708	chr1	NA	-7.56E-01	0	0	0									
OR10P1	ENSG00000175398	chr12	NA	-3.32E-01	0	0	0									
OR10Q1	ENSG00000180475	chr11	NA	-4.41E-01	0	0	0									
OR10R2	ENSG00000198965	chr1	1.95E+00	-1.01E+00	0	0	0									
OR10S1	ENSG00000196248	chr11	NA	-1.49E-01	0	0	0									
OR10T2	ENSG00000186306	chr1	NA	-9.66E-01	0	0	0									
OR10V1	ENSG00000172289	chr11	NA	-2.67E-01	0	0	0									
OR10W1	ENSG00000172772	chr11	NA	-8.97E-01	0	0	0									
OR10X1	ENSG00000279111	chr1	NA	-1.34E+00	0	0	0									
OR10Z1	ENSG00000198967	chr1	NA	-2.15E+00	0	0	0									
OR11A1	ENSG00000204694	chr6	NA	-4.02E-02	0	0	0									
OR11G2	ENSG00000196832	chr14	7.39E+00	-5.24E-01	0	0.130742	0									
OR11H1	ENSG00000130538	chr22	3.56E-01	6.85E+00	0	0	0									
OR11H12	ENSG00000257115	chr14	8.58E-01	5.68E+00	0	0	0									
OR11H2	ENSG00000258453	chr14	NA	6.39E+00	0	0	0									
OR11H4	ENSG00000176198	chr14	NA	-1.97E+00	0	0	0									
OR11H6	ENSG00000176219	chr14	9.96E-01	2.14E-01	0	0	0									
OR11H7	ENSG00000258806	chr14	NA	-5.73E+00	0	0	0									
OR11L1	ENSG00000197591	chr1	NA	-9.34E-02	0	0	0									
OR12D1	ENSG00000251608	chr6	NA	-1.56E+00	0	0	0									
OR12D2	ENSG00000280236	chr6	NA	5.89E-01	0	0	0									
OR12D3	ENSG00000112462	chr6	NA	1.16E+00	0	0	0									
OR13A1	ENSG00000256574	chr10	2.27E+00	-1.87E+00	0	0	0									
OR13C2	ENSG00000276119	chr9	1.23E+00	1.17E+00	0	0	0									
OR13C3	ENSG00000204246	chr9	1.93E+00	-2.74E-01	0	0	0									
OR13C4	ENSG00000148136	chr9	NA	-2.79E-02	0	0	0									
OR13C5	ENSG00000277556	chr9	1.26E+00	2.95E-01	0	0	0									
OR13C7	ENSG00000243641	chr9	NA	-2.78E+00	0	0	0									
OR13C8	ENSG00000186943	chr9	NA	1.32E-01	0	0	0									
OR13C9	ENSG00000136839	chr9	NA	3.10E-01	0	0	0									
OR13D1	ENSG00000179055	chr9	NA	4.18E-01	0	0	0									
OR13F1	ENSG00000186881	chr9	NA	-3.30E-02	0	0	0									
OR13G1	ENSG00000197437	chr1	NA	3.62E-01	0	0	0									
OR13H1	ENSG00000171054	chrX	1.85E+00	7.72E-02	0	0	0									
OR13J1	ENSG00000168828	chr9	1.84E+00	2.91E-01	0	0	0									
OR14A16	ENSG00000196772	chr1	NA	5.69E-01	0	0	0									
OR14A2	ENSG00000241128	chr1	NA	-2.90E+00	0	0	0									
OR14C36	ENSG00000177174	chr1	NA	-4.17E-01	0	0	0									
OR14I1	ENSG00000189181	chr1	NA	-3.07E+00	0	0	0									
OR14J1	ENSG00000204695	chr6	NA	3.30E-01	0	0	0									
OR14K1	ENSG00000153230	chr1	NA	-2.54E+00	0	0	0									
OR1A1	ENSG00000172146	chr17	NA	-2.42E-01	0	0	0									
OR1A2	ENSG00000172150	chr17	NA	4.16E-01	0	0	0									
OR1B1	ENSG00000280094	chr9	NA	-2.53E-01	0	0	0									
OR1C1	ENSG00000221888	chr1	NA	-4.93E-01	0	0	0									
OR1D2	ENSG00000184166	chr17	NA	4.19E-01	0	0	0									
OR1D5	ENSG00000262628	chr17	NA	4.86E+00	0	0	0									
OR1E1	ENSG00000180016	chr17	NA	1.11E+00	0	0	0									
OR1E2	ENSG00000127780	chr17	2.12E+00	1.02E+00	0	0	0									
OR1F1	ENSG00000168124	chr16	NA	-2.57E+00	0	0	0									
OR1G1	ENSG00000183024	chr17	NA	6.27E-01	0	0	0									
OR1I1	ENSG00000094661	chr19	NA	-1.49E-01	0	0	0									
OR1J1	ENSG00000136834	chr9	NA	4.07E-02	0	0	0									
OR1J2	ENSG00000197233	chr9	NA	-1.57E+00	0	0	0									
OR1J4	ENSG00000239590	chr9	NA	4.68E-01	0	0	0									
OR1K1	ENSG00000165204	chr9	NA	-2.39E-02	0	0	0									
OR1L1	ENSG00000173679	chr9	NA	8.97E-02	0	0	0									
OR1L3	ENSG00000171481	chr9	NA	2.70E-01	0	0	0									
OR1L4	ENSG00000136939	chr9	2.63E+00	1.92E+00	0	0	0									
OR1L6	ENSG00000171459	chr9	2.13E+00	1.63E+00	0	0	0									
OR1L8	ENSG00000171496	chr9	NA	1.04E+00	0	0	0									
OR1M1	ENSG00000170929	chr19	NA	1.01E-01	0	0	0									
OR1N1	ENSG00000171505	chr9	NA	8.40E-02	0	0	0									
OR1N2	ENSG00000171501	chr9	NA	4.86E-01	0	0	0									
OR1Q1	ENSG00000165202	chr9	NA	6.29E-01	0	0	0									
OR1S1	ENSG00000280204	chr11	NA	-9.68E-01	0	0	0									
OR1S2	ENSG00000197887	chr11	2.81E+00	-4.29E-01	0	0	0									
OR2A1	ENSG00000221970	chr7	NA	6.19E+00	0	0	0									
OR2A12	ENSG00000221858	chr7	NA	-1.66E-01	0	0	0									
OR2A14	ENSG00000221938	chr7	2.67E+00	-2.31E-01	0	0	0									
OR2A2	ENSG00000221989	chr7	NA	1.04E-01	0	0	0									
OR2A25	ENSG00000221933	chr7	NA	1.40E-01	0	0	0									
OR2A4	ENSG00000180658	chr6	NA	3.88E+00	0	0.122089	0									
OR2A42	ENSG00000212807	chr7	NA	4.23E+00	0	0	0									
OR2A5	ENSG00000221836	chr7	3.28E+00	-3.32E-01	0	0	0									
OR2A7	ENSG00000243896	chr7	NA	7.30E+00	0	0	0									
OR2AE1	ENSG00000244623	chr7	NA	-9.38E-02	0	0	0									
OR2AG1	ENSG00000279486	chr11	NA	-1.11E-01	0	0	0									
OR2AG2	ENSG00000188124	chr11	NA	4.05E-02	0	0.037244	0									
OR2AJ1	ENSG00000177275	chr1	NA	-3.90E+00	0	0	0									
OR2AK2	ENSG00000187080	chr1	NA	-1.71E-01	0	0	0									
OR2AP1	ENSG00000179615	chr12	2.09E+00	-2.91E+00	0	0	0									
OR2AT4	ENSG00000171561	chr11	1.15E+00	8.55E-01	0	0.082073	0									
OR2B11	ENSG00000177535	chr1	NA	-4.68E-01	0	0	0									
OR2B2	ENSG00000168131	chr6	NA	1.25E+00	0	0	0									
OR2B3	ENSG00000204703	chr6	NA	7.44E-01	0	0	0									
OR2B6	ENSG00000124657	chr6	NA	4.20E-01	0	0	0									
OR2C1	ENSG00000168158	chr16	NA	-1.73E+00	0	0	0									
OR2C3	ENSG00000196242	chr1	NA	-5.01E-01	0	0	0									
OR2D2	ENSG00000166368	chr11	1.82E+00	-8.81E-01	0	0	0									
OR2D3	ENSG00000178358	chr11	NA	-4.36E-01	0	0	0									
OR2F1	ENSG00000213215	chr7	NA	-2.36E-01	0	0	0									
OR2F2	ENSG00000221910	chr7	NA	1.14E-01	0	0	0									
OR2G2	ENSG00000177489	chr1	NA	-1.52E+00	0	0	0									
OR2G3	ENSG00000177476	chr1	NA	-2.36E-01	0	0	0									
OR2G6	ENSG00000188558	chr1	NA	-1.42E+00	0	0	0									
OR2H1	ENSG00000204688	chr6	NA	-2.82E-01	0	0	0									
OR2H2	ENSG00000204657	chr6	NA	4.50E-01	0	0	0									
OR2J1	ENSG00000204702	chr6	1.66E+00	1.37E+00	0	0	0									
OR2J2	ENSG00000204700	chr6	1.23E+00	8.36E-01	0	0	0									
OR2J3	ENSG00000204701	chr6	1.12E+00	1.12E+00	0	0	0									
OR2K2	ENSG00000171133	chr9	1.19E+00	-1.65E-01	0	0	0									
OR2L13	ENSG00000196071	chr1	1.43E+00	4.52E-01	0	0	0									
OR2L2	ENSG00000203663	chr1	NA	-6.18E-02	0	0	0									
OR2L3	ENSG00000198128	chr1	NA	1.66E-01	0	0	0									
OR2L5	ENSG00000197454	chr1	NA	-6.86E-01	0	0	0									
OR2L8	ENSG00000279263	chr1	NA	1.14E+00	0	0	0									
OR2M2	ENSG00000198601	chr1	NA	-7.63E-01	0	0.164321	0									
OR2M3	ENSG00000228198	chr1	1.11E+00	-4.22E-01	0	0	0									
OR2M4	ENSG00000171180	chr1	1.05E+00	1.66E-01	0	0	0									
OR2M5	ENSG00000162727	chr1	NA	-5.12E-01	0	0	0									
OR2M7	ENSG00000177186	chr1	NA	-6.92E-02	0	0	0									
OR2S2	ENSG00000278889	chr9	NA	5.30E-01	0	0	0									
OR2T1	ENSG00000175143	chr1	NA	-1.07E+00	0	0	0									
OR2T10	ENSG00000184022	chr1	NA	1.04E+00	0	0	0									
OR2T11	ENSG00000279301	chr1	1.62E+00	-4.39E-01	0	0	0									
OR2T12	ENSG00000177201	chr1	NA	1.47E+00	0	0	0									
OR2T2	ENSG00000196240	chr1	NA	5.72E+00	0	0	0									
OR2T27	ENSG00000187701	chr1	NA	5.25E+00	0	0	0									
OR2T29	ENSG00000182783	chr1	NA	4.44E+00	0	0	0									
OR2T3	ENSG00000196539	chr1	NA	5.08E+00	0	0	0									
OR2T33	ENSG00000177212	chr1	1.22E+00	2.75E+00	0	0	0									
OR2T34	ENSG00000183310	chr1	NA	4.01E+00	0	0	0									
OR2T35	ENSG00000177151	chr1	NA	5.92E+00	0	0	0									
OR2T4	ENSG00000196944	chr1	NA	4.63E-01	0	0	0									
OR2T5	ENSG00000203661	chr1	NA	5.05E+00	0	0	0									
OR2T6	ENSG00000198104	chr1	NA	-6.99E-01	0	0	0									
OR2T7	ENSG00000227152	chr1	NA	4.00E+00	0	0	0									
OR2T8	ENSG00000177462	chr1	NA	4.94E+00	0	0	0									
OR2V1	ENSG00000185372	chr5	1.78E+00	7.29E-01	0	0	0									
OR2V2	ENSG00000182613	chr5	NA	3.64E-03	0	0	0									
OR2W1	ENSG00000204704	chr6	NA	3.98E-01	0	0	0									
OR2W3	ENSG00000238243	chr1	NA	-1.09E+00	0	0	0									
OR2Y1	ENSG00000174339	chr5	NA	-5.12E-01	0	0	0									
OR2Z1	ENSG00000181733	chr19	NA	-1.00E+00	0	0.292346	0									
OR3A1	ENSG00000180090	chr17	NA	-1.77E-01	0	0	0									
OR3A2	ENSG00000221882	chr17	NA	1.61E+00	0	0	0									
OR3A3	ENSG00000159961	chr17	NA	2.51E+00	0	0	0									
OR4A15	ENSG00000181958	chr11	NA	-6.22E+00	0	0	0									
OR4A16	ENSG00000181961	chr11	NA	-4.38E+00	0	0	0									
OR4A47	ENSG00000237388	chr11	1.72E+00	-2.22E+00	0	0.049675	0									
OR4A5	ENSG00000221840	chr11	NA	-6.60E+00	0	0.2313	0									
OR4A8	ENSG00000225997	chr11	NA	-1.33E+01	0	0.358029	0									
OR4B1	ENSG00000175619	chr11	NA	-3.31E+00	0	0.076745	0									
OR4C11	ENSG00000172188	chr11	1.58E+00	-1.96E+00	0	0	0									
OR4C12	ENSG00000221954	chr11	1.48E+00	-1.08E+00	0	0.109663	0									
OR4C13	ENSG00000258817	chr11	2.22E+00	-3.01E+00	0	0.278683	0									
OR4C15	ENSG00000181939	chr11	NA	-7.01E+00	0	0.195292	0									
OR4C16	ENSG00000279514	chr11	2.34E+00	-6.92E+00	0	0	0									
OR4C3	ENSG00000176547	chr11	NA	-1.76E+00	0	0	0									
OR4C45	ENSG00000260811	chr11	NA	8.33E-01	0	0.464374	0									
OR4C46	ENSG00000185926	chr11	2.16E+00	-5.17E+00	0	0.095886	0									
OR4C5	ENSG00000176540	chr11	NA	-4.86E+00	0	0	0									
OR4C6	ENSG00000181903	chr11	2.08E+00	-3.80E+00	0	0	0									
OR4D1	ENSG00000141194	chr17	1.20E+00	6.95E-01	0	0	0									
OR4D10	ENSG00000254466	chr11	NA	-3.72E-01	0	0.058941	0									
OR4D11	ENSG00000176200	chr11	1.56E+00	-2.22E-01	0	0.055387	0									
OR4D2	ENSG00000255713	chr17	1.27E+00	1.89E-01	0	0	0									
OR4D5	ENSG00000171014	chr11	NA	-5.09E-02	0	0	0									
OR4D6	ENSG00000166884	chr11	1.44E+00	3.14E-01	0	0	0									
OR4D9	ENSG00000172742	chr11	8.13E+00	-3.12E-01	0	0	0									
OR4E2	ENSG00000221977	chr14	1.43E+00	-1.29E+00	0	0	0									
OR4F15	ENSG00000182854	chr15	1.10E+00	-1.48E+00	0	0	0									
OR4F17	ENSG00000176695	chr19	NA	7.65E+00	0	0	0									
OR4F21	ENSG00000176269	chr8	NA	5.18E+00	0	0	0									
OR4F4	ENSG00000177693	chr15	4.64E-01	6.81E+00	0	0	0									
OR4F5	ENSG00000186092	chr1	8.20E-01	4.14E+00	0	0	0									
OR4F6	ENSG00000184140	chr15	1.30E+00	-1.31E+00	0	0	0									
OR4K1	ENSG00000155249	chr14	1.68E+00	-3.76E+00	0	0	0									
OR4K13	ENSG00000176253	chr14	NA	-8.25E-01	0	0	0									
OR4K14	ENSG00000169484	chr14	NA	-7.16E-01	0	0	0									
OR4K15	ENSG00000169488	chr14	NA	-3.90E-02	0	0	0									
OR4K17	ENSG00000176230	chr14	NA	-2.53E+00	0	0	0									
OR4K2	ENSG00000165762	chr14	1.37E+00	-3.67E+00	0	0	0									
OR4K5	ENSG00000176281	chr14	NA	-3.14E+00	0	0	0									
OR4L1	ENSG00000176246	chr14	NA	-1.72E+00	0	0	0									
OR4M1	ENSG00000176299	chr14	1.34E+00	1.08E+00	0	0	0									
OR4M2B	ENSG00000182974	chr15	5.40E-01	6.57E+00	0	0	0									
OR4N2	ENSG00000176294	chr14	NA	1.55E+00	0	0	0									
OR4N4	ENSG00000183706	chr15	1.01E+00	4.64E+00	0	0	0									
OR4N4C	ENSG00000279408	chr15	6.80E-01	5.36E+00	0	0	0									
OR4N5	ENSG00000184394	chr14	NA	-1.29E+00	0	0	0									
OR4P4	ENSG00000181927	chr11	2.21E+00	3.27E-02	0	0	0									
OR4Q2	ENSG00000196383	chr14	NA	-6.00E+00	0	0	0									
OR4Q3	ENSG00000182652	chr14	1.36E+00	-1.03E-01	0	0	0									
OR4S1	ENSG00000176555	chr11	NA	-3.23E+00	0	0	0									
OR4S2	ENSG00000174982	chr11	1.61E+00	3.84E-01	0	0	0									
OR4X1	ENSG00000176567	chr11	NA	-3.13E+00	0	0.10155	0									
OR4X2	ENSG00000172208	chr11	NA	-4.38E+00	0	0.104409	0									
OR51A2	ENSG00000205496	chr11	NA	5.68E+00	0	0	0									
OR51A4	ENSG00000205497	chr11	NA	2.70E+00	0	0	0									
OR51A7	ENSG00000176895	chr11	NA	-7.61E-01	0	0	0									
OR51B2	ENSG00000279012	chr11	NA	-1.81E+00	0	0.073921	0									
OR51B4	ENSG00000183251	chr11	NA	-4.85E-01	0	0	0									
OR51B5	ENSG00000167355	chr11	NA	-1.79E+00	0	0	0									
OR51B6	ENSG00000176239	chr11	NA	-2.61E+00	0	0	0									
OR51C1	ENSG00000197674	chr11	8.45E+00	-8.91E+00	0	0	0									
OR51D1	ENSG00000197428	chr11	NA	-1.20E+00	0	0	0									
OR51E1	ENSG00000180785	chr11	1.37E+00	2.78E-01	0	0	0									
OR51E2	ENSG00000167332	chr11	1.60E+00	-1.45E+00	0	0	0									
OR51F1	ENSG00000280021	chr11	NA	-1.14E+00	0	0.041766	0									
OR51F2	ENSG00000176925	chr11	NA	-7.16E-01	0	0	0									
OR51G1	ENSG00000278870	chr11	NA	-1.24E+00	0	0	0									
OR51G2	ENSG00000176893	chr11	1.76E+00	-1.71E+00	0	0	0									
OR51I1	ENSG00000167359	chr11	1.52E+00	-1.66E+00	0	0	0									
OR51I2	ENSG00000187918	chr11	1.27E+00	-1.98E+00	0	0	0									
OR51L1	ENSG00000176798	chr11	3.42E+00	4.30E-02	0	0	0									
OR51M1	ENSG00000184698	chr11	NA	-2.22E+00	0	0.032569	0									
OR51Q1	ENSG00000167360	chr11	NA	-2.22E+00	0	0.50208	0									
OR51S1	ENSG00000176922	chr11	1.67E+01	-1.83E+00	0	0	0									
OR51T1	ENSG00000176900	chr11	NA	-8.66E-01	0	0	0									
OR51V1	ENSG00000176742	chr11	1.49E+00	-1.94E+00	0	0	0									
OR52A1	ENSG00000182070	chr11	1.54E+00	-5.17E-01	0	0	0									
OR52A5	ENSG00000171944	chr11	1.34E+00	-7.62E-01	0	0	0									
